application_id,vae_reconstruction_prob,rule_violation_score,rule_codes_fired,lgbm_risk_score,top_shap_features
AS202526000004346,0.98369586,0.0,,0.0012396310153491982,"x_course_year,x_university_id,vae_reconstruction_prob"
TN202526000004380,0.98000765,0.0,,0.0009670899688475966,"xii_university_id,x_university_id,vae_reconstruction_prob"
RJ202526000004445,0.9375912,0.0,,0.0017864265421860196,"permanent_pincode,x_course_year,xii_university_id"
AS202526000004535,0.9852597,0.0,,0.0024746900705381277,"x_course_year,xii_university_id,vae_reconstruction_prob"
KL202526000004581,0.97166187,0.0,,0.0004697437782868418,"xii_university_id,xii_percentage,village_id"
AS202526000004611,0.9579689,0.0,,0.0013660953149164771,"x_course_year,x_university_id,vae_reconstruction_prob"
UP202526000004715,0.9705596,0.0,,0.0003389008577322693,"permanent_pincode,village_id,admission_fee"
AS202526000004828,0.9773538,0.0,,0.0007851779720707796,"annual_family_income,x_course_year,x_university_id"
TN202526000005056,0.9598716,0.0,,0.0062153784655038374,"age_at_registration,xii_percentage,xii_university_id"
BR202526000005099,0.9757313,2.0,X9,0.964155628545052,"x_university_id,permanent_pincode,xii_university_id"
BR202526000005268,0.9569956,0.0,,0.006241968232266256,"x_university_id,c_course_year,permanent_pincode"
NL202526000005511,0.94733495,0.0,,0.00033906397385643225,"annual_family_income,x_university_id,x_course_year"
BR202526000005782,0.92863566,0.0,,0.0003616323141707977,"x_university_id,permanent_pincode,admission_fee"
HR202526004840744,0.94289887,0.0,,0.00019064746016033196,"permanent_pincode,x_university_id,state_verify_by"
BR202526000005964,0.98213935,0.0,,0.0016899599416022434,"xii_university_id,x_university_id,permanent_pincode"
AS202526000006050,0.98016673,0.0,,0.006520209526424854,"x_course_year,ip_to_mobile_ratio,flag_income_below_20000"
BR202526000006084,0.9587067,0.0,,9.516605622932075e-05,"x_university_id,mobile_no,xii_university_id"
KA202526000006088,0.95096666,0.0,,0.00021981662860342133,"x_course_year,tution_fee,permanent_pincode"
PB202526000006161,0.96118844,0.0,,0.0019261171911611368,"name_similarity_score,permanent_pincode,x_course_year"
KA202526000024079,0.9702666,0.0,,0.0005285464140794247,"x_course_year,age_at_registration,x_university_id"
HR202526000006257,0.9627195,0.0,,0.00034897604167014425,"permanent_pincode,annual_family_income,xii_percentage"
HR202526000006241,0.93631464,0.0,,0.0007822389507515549,"annual_family_income,xii_university_id,admission_fee"
AS202526000006248,0.9764763,0.0,,0.03256570722915355,"x_university_id,permanent_pincode,x_course_year"
AS202526000006175,0.9854209,0.0,,0.12129171753883732,"x_course_year,annual_family_income,c_institution_id"
DL202526000006291,0.93688166,0.0,,0.00022238060119351795,"annual_family_income,c_course_year,permanent_pincode"
TN202526000006508,0.9577268,0.0,,0.0008358806878161328,"permanent_pincode,x_course_year,vae_reconstruction_prob"
UP202526000006570,0.97314775,0.0,,0.0006937563751956879,"annual_family_income,permanent_pincode,xii_university_id"
AS202526000006683,0.9860527,0.0,,0.0010987764487842995,"vae_reconstruction_prob,c_institution_id,xii_university_id"
MN202526000006685,0.97778434,0.0,,0.0021917703102397245,"x_course_year,xii_university_id,xii_percentage"
MP202526000006763,0.9127048,3.0,"X7,X7_FLAG",0.9993361468222206,"flag_postmatric_age_over35,age_at_registration,vae_reconstruction_prob"
JK202526000006717,0.94538426,0.0,,7.314383068576062e-05,"permanent_pincode,x_course_year,x_university_id"
PB202526000006966,0.9635668,0.0,,0.00044892400173910253,"annual_family_income,x_course_year,permanent_pincode"
OR202526000006950,0.9811854,0.0,,0.0001325086559285464,"x_course_year,x_university_id,competitive_exam_year"
BR202526000006955,0.9802804,0.0,,0.02282771025967929,"x_university_id,x_course_year,xii_university_id"
BR202526000006983,0.9787706,0.0,,0.014941645843401984,"x_university_id,x_course_year,xii_university_id"
