application_id,vae_reconstruction_prob,rule_violation_score,rule_codes_fired,lgbm_risk_score,top_shap_features
RJ202526000004445,0.9524628,0.0,,0.0009305738586784111,"permanent_pincode,state_verify_by,xii_percentage"
AS202526000004535,0.96315664,0.0,,0.008148843801441598,"xii_university_id,x_course_year,age_at_registration"
KL202526000004581,0.97362536,0.0,,0.0006684921387611383,"xii_percentage,xii_university_id,age_at_registration"
AS202526000004611,0.9592176,0.0,,0.0011725725004942372,"x_course_year,age_at_registration,x_university_id"
UP202526000004715,0.97283316,0.0,,0.0006890695163643484,"permanent_pincode,aadhaar_vault_ref_token,xii_percentage"
AS202526000004828,0.9767027,0.0,,0.0006527582385818833,"annual_family_income,age_at_registration,x_course_year"
TN202526000005056,0.966045,0.0,,0.0029634995297144096,"xii_percentage,age_at_registration,permanent_pincode"
BR202526000005099,0.9780069,2.0,X9,0.964992098379925,"x_university_id,state_verify_by,permanent_pincode"
BR202526000005268,0.9584379,0.0,,0.027497436726160077,"x_university_id,x_course_year,age_at_registration"
NL202526000005511,0.9486463,0.0,,0.00024321227578358288,"annual_family_income,x_university_id,x_course_year"
BR202526000005782,0.9279113,0.0,,0.0005344731028933849,"x_university_id,permanent_pincode,tution_fee"
HR202526004840744,0.94874644,0.0,,0.00030938566636124127,"x_university_id,permanent_pincode,village_id"
BR202526000005964,0.9827339,0.0,,0.003547827026576469,"x_university_id,permanent_pincode,x_course_year"
AS202526000006050,0.9814228,0.0,,0.003283120520815476,"x_course_year,ip_application_count,vae_reconstruction_prob"
BR202526000006084,0.9579173,0.0,,0.0013018534219175547,"x_university_id,x_course_year,age_at_registration"
KA202526000006088,0.9539146,0.0,,0.0006493617708726852,"tution_fee,x_course_year,permanent_pincode"
PB202526000006161,0.9540416,0.0,,0.00538648250989736,"name_similarity_score,vae_reconstruction_prob,x_course_year"
KA202526000024079,0.9725704,0.0,,0.00038095787456834127,"x_course_year,permanent_pincode,age_at_registration"
HR202526000006257,0.9614214,0.0,,2.2342805023990524e-05,"x_university_id,permanent_pincode,xii_percentage"
HR202526000006241,0.951032,0.0,,0.0005440202367345668,"annual_family_income,admission_fee,sub_district_id"
AS202526000006248,0.97723055,0.0,,0.05807472609486223,"x_university_id,x_course_year,age_at_registration"
AS202526000006175,0.98856,0.0,,0.05975138424094544,"x_course_year,vae_reconstruction_prob,annual_family_income"
DL202526000006291,0.93929344,0.0,,0.0005252292678022526,"annual_family_income,xii_percentage,x_university_id"
TN202526000006508,0.9603284,0.0,,0.0007436705916993478,"permanent_pincode,x_university_id,x_course_year"
UP202526000006570,0.97357595,0.0,,0.0008037176509308228,"annual_family_income,permanent_pincode,x_university_id"
AS202526000006683,0.9879224,0.0,,0.0011591875615127646,"vae_reconstruction_prob,age_at_registration,x_university_id"
MN202526000006685,0.97927773,0.0,,0.003506560537908588,"x_percentage,x_course_year,x_university_id"
MP202526000006763,0.9087094,2.0,"X13_X21,X13_FLAG",0.9997874534833507,"flag_income_below_20000,ip_application_count,aadhaar_vault_ref_token"
JK202526000006717,0.9473605,0.0,,7.739428088017602e-05,"x_university_id,x_course_year,permanent_pincode"
PB202526000006966,0.9636259,0.0,,0.0005519388000382427,"annual_family_income,tution_fee,x_course_year"
OR202526000006950,0.982598,0.0,,3.4174688475660226e-05,"x_course_year,age_at_registration,competitive_exam_state"
BR202526000006955,0.9809991,0.0,,0.008330918529081369,"x_university_id,x_course_year,xii_university_id"
BR202526000006983,0.9756241,0.0,,0.012680147100901016,"x_university_id,state_verify_by,x_course_year"
UP202526000006830,0.9126156,0.0,,0.007485165198322688,"village_id,age_at_registration,flag_fee_exceeds_income"
WB202526000006848,0.9798639,0.0,,0.00025528467103753055,"x_course_year,age_at_registration,x_university_id"
WB202526000011388,0.9770428,0.0,,0.0001125393571689637,"x_course_year,competitive_exam_state,x_university_id"
AS202526000011371,0.98064435,0.0,,0.007830190705815311,"x_course_year,x_university_id,x_percentage"
AS202526000011462,0.9548677,0.0,,0.00021669546211926311,"annual_family_income,x_course_year,ip_application_count"
